method,eval_eps,accuracy_mean,accuracy_std
Adv-CE,0.0,0.8825,0.0027436796055257235
Adv-CE,0.05,0.7962777777777778,0.005143316411004072
Adv-CE,0.1,0.6658888888888889,0.010957409128750033
Adv-CE,0.2,0.35483333333333333,0.00548735921105148
CE,0.0,0.8825,0.001527525231651936
CE,0.05,0.7758333333333334,0.003940530139178959
CE,0.1,0.6078888888888888,0.001766457010620529
CE,0.2,0.2711111111111111,0.002250514344503207
SmoothAdv,0.0,0.8823888888888889,0.0026475005683208857
SmoothAdv,0.05,0.7963333333333334,0.00495255265270125
SmoothAdv,0.1,0.6660555555555555,0.010475279541925488
SmoothAdv,0.2,0.355,0.00548735921105147
